
13-02-2018 23:45:15:005 - I: 	Executing process python.exe "" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-45-14-427\Phase 1 - Round 0\B"
13-02-2018 23:45:15:083 - I: 	Bot calibration complete and can run an additional 77ms due to environment startup
13-02-2018 23:45:15:099 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-45-14-427\Phase 1 - Round 0\B"
13-02-2018 23:45:15:099 - I: 	Executing process python.exe "bot.py" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-45-14-427\Phase 1 - Round 0\B"
13-02-2018 23:45:15:099 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 23:45:15:177 - I: 	Output from bot: Cruiser 3 3 east
13-02-2018 23:45:15:177 - I: 	Output from bot: Destroyer 4 5 north
13-02-2018 23:45:15:177 - I: 	Output from bot: Carrier 0 4 north
13-02-2018 23:45:15:177 - I: 	Output from bot: Battleship 7 6 south
13-02-2018 23:45:15:177 - I: 	Output from bot: Submarine 1 8 east
13-02-2018 23:45:15:193 - I: 	Output from bot: 
13-02-2018 23:45:15:193 - E: 	Output from bot: 
13-02-2018 23:45:15:193 - I: 	Your bots total execution time was 00:00:00.1013273
