
13-02-2018 23:45:25:629 - I: 	Executing process python.exe "" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-45-25-145\Phase 1 - Round 0\B"
13-02-2018 23:45:25:692 - I: 	Bot calibration complete and can run an additional 65ms due to environment startup
13-02-2018 23:45:25:692 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-45-25-145\Phase 1 - Round 0\B"
13-02-2018 23:45:25:692 - I: 	Executing process python.exe "bot.py" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 23-45-25-145\Phase 1 - Round 0\B"
13-02-2018 23:45:25:707 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 23:45:25:785 - I: 	Output from bot: Cruiser 5 6 east
13-02-2018 23:45:25:785 - I: 	Output from bot: Submarine 5 8 west
13-02-2018 23:45:25:785 - I: 	Output from bot: Destroyer 9 2 north
13-02-2018 23:45:25:785 - I: 	Output from bot: Battleship 5 4 west
13-02-2018 23:45:25:785 - I: 	Output from bot: Carrier 7 7 west
13-02-2018 23:45:25:801 - I: 	Output from bot: 
13-02-2018 23:45:25:801 - E: 	Output from bot: 
13-02-2018 23:45:25:801 - I: 	Your bots total execution time was 00:00:00.0980186
