
13-02-2018 19:48:46:487 - I: 	Executing process python.exe "" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 19-48-46-005\Phase 1 - Round 0\B"
13-02-2018 19:48:46:549 - I: 	Bot calibration complete and can run an additional 65ms due to environment startup
13-02-2018 19:48:46:549 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 19-48-46-005\Phase 1 - Round 0\B"
13-02-2018 19:48:46:549 - I: 	Executing process python.exe "bot.py" B "C:\Users\alvin limassa\Documents\GitHub\BattleshipsBot\Game Engine\Replays\2018-02-13 19-48-46-005\Phase 1 - Round 0\B"
13-02-2018 19:48:46:565 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 19:48:46:643 - I: 	Output from bot: Cruiser 7 5 west
13-02-2018 19:48:46:643 - I: 	Output from bot: Submarine 5 8 west
13-02-2018 19:48:46:643 - I: 	Output from bot: Battleship 8 7 west
13-02-2018 19:48:46:643 - I: 	Output from bot: Carrier 2 9 south
13-02-2018 19:48:46:643 - I: 	Output from bot: Destroyer 8 1 north
13-02-2018 19:48:46:643 - I: 	Output from bot: 
13-02-2018 19:48:46:643 - E: 	Output from bot: 
13-02-2018 19:48:46:643 - I: 	Your bots total execution time was 00:00:00.0894249
